EPOCH 0 , FILE 0 , LOSS 4.250754411704848 , TIME 2.753636598587036
EPOCH 0 , FILE 1 , LOSS 4.239027156155376 , TIME 2.9163975715637207
EPOCH 0 , FILE 2 , LOSS 4.237129031188186 , TIME 3.1285133361816406
EPOCH 0 , FILE 3 , LOSS 4.220151029633245 , TIME 3.3983469009399414
EPOCH 0 , FILE 4 , LOSS 4.23343854268484 , TIME 3.6594057083129883
EPOCH 0 , FILE 5 , LOSS 4.187107584383155 , TIME 3.8993477821350098
EPOCH 0 , FILE 6 , LOSS 4.180190341992731 , TIME 3.973022699356079
EPOCH 0 , FILE 7 , LOSS 4.151306444207658 , TIME 4.132957220077515
EPOCH 0 , FILE 8 , LOSS 4.178363998222466 , TIME 4.2692320346832275
EPOCH 0 , FILE 9 , LOSS 4.1161401211357855 , TIME 4.441339492797852
EPOCH 0 , FILE 10 , LOSS 4.121992121446035 , TIME 4.608218669891357
EPOCH 0 , FILE 11 , LOSS 4.096197679726705 , TIME 4.911553144454956
EPOCH 0 , FILE 12 , LOSS 4.003364968534751 , TIME 5.220963954925537
EPOCH 0 , FILE 13 , LOSS 4.020544629799865 , TIME 5.396265029907227
EPOCH 0 , FILE 14 , LOSS 3.9912433107624734 , TIME 5.535082101821899
EPOCH 0 , FILE 15 , LOSS 3.9338534760467057 , TIME 5.654436349868774
EPOCH 0 , FILE 16 , LOSS 3.9390993173767237 , TIME 5.879412889480591
EPOCH 0 , FILE 17 , LOSS 3.928229037746258 , TIME 6.092893838882446
EPOCH 0 , FILE 18 , LOSS 4.023323000868057 , TIME 6.2622387409210205
EPOCH 0 , FILE 19 , LOSS 3.8055252281522916 , TIME 6.5348217487335205
EPOCH 0 , FILE 20 , LOSS 3.8237668468402943 , TIME 6.8318281173706055
EPOCH 0 , FILE 21 , LOSS 3.7508094461701433 , TIME 7.135462522506714
EPOCH 0 , FILE 22 , LOSS 3.900416415740024 , TIME 7.236729860305786
EPOCH 0 , FILE 23 , LOSS 3.5497926035508782 , TIME 7.437877178192139
EPOCH 0 , FILE 24 , LOSS 3.81806450786556 , TIME 7.780555486679077
EPOCH 0 , FILE 25 , LOSS 3.935397643128354 , TIME 8.083519220352173
EPOCH 0 , FILE 26 , LOSS 3.6017211435168375 , TIME 8.393338918685913
EPOCH 0 , FILE 27 , LOSS 3.9970966447884684 , TIME 8.538434743881226
EPOCH 0 , FILE 28 , LOSS 3.5592302407958685 , TIME 8.792256116867065
EPOCH 0 , FILE 29 , LOSS 3.7062779122583143 , TIME 9.046246528625488
EPOCH 0 , FILE 30 , LOSS 3.7600471634288657 , TIME 9.342690229415894
EPOCH 0 , FILE 31 , LOSS 3.610264144991358 , TIME 9.632226943969727
EPOCH 0 , FILE 32 , LOSS 3.63381219370334 , TIME 9.723423480987549
EPOCH 0 , FILE 33 , LOSS 3.6728149427414967 , TIME 10.029754877090454
EPOCH 0 , FILE 34 , LOSS 3.710714562415944 , TIME 10.209519863128662
EPOCH 0 , FILE 35 , LOSS 3.4241187965138726 , TIME 10.306633949279785
EPOCH 0 , FILE 36 , LOSS 3.7612216167300536 , TIME 10.495664358139038
EPOCH 0 , FILE 37 , LOSS 3.285304992902596 , TIME 10.597451448440552
EPOCH 0 , FILE 38 , LOSS 3.832383177132441 , TIME 10.866080045700073
EPOCH 0 , FILE 39 , LOSS 3.516896132373846 , TIME 11.114259719848633
EPOCH 0 , FILE 40 , LOSS 3.634743188321579 , TIME 11.310688495635986
EPOCH 0 , FILE 41 , LOSS 3.7275930573884946 , TIME 11.570030689239502
EPOCH 0 , FILE 42 , LOSS 3.514995496507641 , TIME 11.649399280548096
EPOCH 0 , FILE 43 , LOSS 3.6907576508840716 , TIME 11.787142276763916
EPOCH 0 , FILE 44 , LOSS 3.6364750527933305 , TIME 11.984356880187988
EPOCH 0 , FILE 45 , LOSS 3.508986559224959 , TIME 12.245054960250854
EPOCH 0 , FILE 46 , LOSS 3.6100915996970047 , TIME 12.35153317451477
EPOCH 0 , FILE 47 , LOSS 3.615608812381672 , TIME 12.602535486221313
EPOCH 0 , FILE 48 , LOSS 3.6278128698386602 , TIME 12.872024774551392
EPOCH 0 , FILE 49 , LOSS 3.8004982217858907 , TIME 13.040328025817871
EPOCH 0 , FILE 50 , LOSS 3.640419442690782 , TIME 13.369622945785522
EPOCH 0 , FILE 51 , LOSS 3.4958873034601394 , TIME 13.577210903167725
EPOCH 0 , FILE 52 , LOSS 3.6471455900307257 , TIME 13.838847875595093
EPOCH 0 , FILE 53 , LOSS 3.6712416579872436 , TIME 14.11079716682434
EPOCH 0 , FILE 54 , LOSS 3.5962679479191713 , TIME 14.376601934432983
EPOCH 0 , FILE 55 , LOSS 4.09948780163762 , TIME 14.491063356399536
EPOCH 0 , FILE 56 , LOSS 3.7597229295739965 , TIME 14.703526735305786
EPOCH 0 , FILE 57 , LOSS 3.503818533203026 , TIME 14.895597219467163
EPOCH 0 , FILE 58 , LOSS 3.5445620599303216 , TIME 15.162489175796509
EPOCH 0 , FILE 59 , LOSS 3.537959390400743 , TIME 15.354864120483398
EPOCH 0 , FILE 60 , LOSS 3.7380004474171216 , TIME 15.400723457336426
EPOCH 0 , FILE 61 , LOSS 3.5419007638418734 , TIME 15.60515570640564
EPOCH 0 , FILE 62 , LOSS 3.5424453643815577 , TIME 15.903582096099854
EPOCH 0 , FILE 63 , LOSS 3.643750208165578 , TIME 16.035839319229126
EPOCH 0 , FILE 64 , LOSS 3.5569883748144577 , TIME 16.245428800582886
EPOCH 0 , FILE 65 , LOSS 3.5468740338409845 , TIME 16.464844465255737
EPOCH 0 , FILE 66 , LOSS 3.5694133861329465 , TIME 16.740843534469604
EPOCH 0 , FILE 67 , LOSS 3.6738579503302864 , TIME 16.855594396591187
EPOCH 0 , FILE 68 , LOSS 3.6767226555522137 , TIME 17.012682676315308
EPOCH 0 , FILE 69 , LOSS 3.234101683496856 , TIME 17.174548149108887
EPOCH 0 , FILE 70 , LOSS 3.4603858067308066 , TIME 17.318894386291504
EPOCH 0 , FILE 71 , LOSS 3.6257430956812797 , TIME 17.602142572402954
EPOCH 0 , FILE 72 , LOSS 3.6279573944332215 , TIME 17.714871644973755
EPOCH 0 , FILE 73 , LOSS 3.676258848145099 , TIME 17.977057218551636
